,AGVH,AGVD,AGVA,LEVEL,SUM
358,0.25,0.37,0.37,0,8.87
359,0.27,0.37,0.36,0,8.78
360,0.23,0.37,0.4,0,9.14
361,0.2,0.35,0.45,0,9.63
362,0.42,0.37,0.21,0,9.49
363,0.28,0.37,0.36,0,8.77
364,0.29,0.37,0.34,0,8.71
365,0.23,0.37,0.41,0,9.17
366,0.31,0.37,0.32,0,8.67
367,0.31,0.37,0.32,0,8.65
368,0.28,0.39,0.34,0,8.78
369,0.07,0.32,0.61,0,17.56
370,0.35,0.4,0.25,0,8.93
371,0.09,0.3,0.61,0,15.69
372,0.16,0.35,0.48,0,10.52
373,0.32,0.37,0.31,0,8.68
374,0.18,0.36,0.47,0,10.17
375,0.26,0.37,0.36,0,8.81
376,0.31,0.39,0.31,0,8.69
377,0.09,0.32,0.59,0,15.51
378,0.27,0.37,0.36,0,8.79
379,0.41,0.36,0.23,0,9.14
380,0.31,0.38,0.31,0,8.64
381,0.17,0.36,0.47,0,10.4
382,0.2,0.35,0.45,0,9.74
383,0.25,0.38,0.38,0,8.93
384,0.21,0.37,0.42,0,9.38
385,0.35,0.36,0.29,0,8.7
386,0.28,0.38,0.34,0,8.71
387,0.26,0.37,0.37,0,8.83
388,0.15,0.35,0.5,0,11.1
389,0.51,0.34,0.14,0,11.38
390,0.25,0.38,0.37,0,8.88
391,0.23,0.37,0.4,0,9.07
392,0.35,0.38,0.27,0,8.79
393,0.31,0.37,0.32,0,8.68
394,0.31,0.38,0.31,0,8.64
395,0.17,0.36,0.47,0,10.22
396,0.28,0.38,0.33,0,8.76
397,0.22,0.37,0.41,0,9.31
398,0.3,0.38,0.32,0,8.72
399,0.41,0.36,0.23,0,9.14
400,0.27,0.38,0.35,0,8.78
401,0.3,0.39,0.32,0,8.69
402,0.16,0.37,0.47,0,10.47
403,0.55,0.34,0.11,0,13.28
404,0.19,0.36,0.45,0,9.75
405,0.33,0.39,0.28,0,8.75
406,0.35,0.38,0.27,0,8.79
407,0.5,0.36,0.14,0,11.41
408,0.3,0.38,0.32,0,8.71
409,0.22,0.37,0.41,0,9.2
410,0.1,0.3,0.6,0,14.21
411,0.12,0.32,0.56,0,12.67
412,0.45,0.35,0.2,0,9.64
413,0.22,0.38,0.4,0,9.11
414,0.33,0.39,0.29,0,8.73
415,0.3,0.37,0.33,0,8.61
416,0.1,0.3,0.6,0,14.78
417,0.22,0.36,0.42,0,9.26
418,0.23,0.36,0.4,0,9.04
419,0.31,0.37,0.32,0,8.59
420,0.28,0.38,0.34,0,8.68
421,0.11,0.33,0.56,0,13.23
422,0.22,0.36,0.42,0,9.26
423,0.3,0.37,0.33,0,8.67
424,0.42,0.39,0.19,0,9.75
425,0.2,0.38,0.42,0,9.49
426,0.31,0.39,0.3,0,8.69
427,0.48,0.35,0.18,0,10.21
428,0.1,0.31,0.59,0,14.1
429,0.33,0.38,0.29,0,8.68
430,0.12,0.36,0.51,0,12.19
431,0.38,0.37,0.25,0,8.91
432,0.18,0.36,0.46,0,10.07
433,0.43,0.36,0.2,0,9.54
434,0.34,0.37,0.29,0,8.6
435,0.23,0.35,0.42,0,9.04
436,0.47,0.36,0.16,0,10.42
437,0.17,0.34,0.48,0,10.24
438,0.3,0.35,0.35,0,8.59
439,0.43,0.36,0.21,0,9.4
440,0.1,0.32,0.58,0,13.83
441,0.25,0.36,0.39,0,8.87
442,0.23,0.35,0.41,0,9.09
443,0.28,0.38,0.34,0,8.71
444,0.27,0.37,0.36,0,8.66
445,0.16,0.34,0.5,0,10.88
446,0.28,0.37,0.35,0,8.72
447,0.12,0.33,0.55,0,12.51
448,0.14,0.33,0.53,0,11.62
449,0.27,0.38,0.34,0,8.73
450,0.52,0.34,0.14,0,11.4
451,0.17,0.36,0.47,0,10.4
452,0.23,0.37,0.4,0,9.01
453,0.29,0.38,0.33,0,8.68
454,0.24,0.37,0.39,0,8.95
455,0.23,0.35,0.42,0,9.14
456,0.21,0.36,0.43,0,9.41
457,0.38,0.37,0.25,0,8.82
458,0.4,0.39,0.22,0,9.2
459,0.34,0.38,0.29,0,8.65
460,0.3,0.38,0.32,0,8.66
461,0.08,0.33,0.58,0,15.76
462,0.21,0.37,0.43,0,9.45
463,0.5,0.36,0.14,0,11.55
464,0.13,0.36,0.5,0,11.72
465,0.45,0.37,0.18,0,10.11
466,0.06,0.29,0.65,0,20.58
467,0.31,0.37,0.32,0,8.61
468,0.22,0.36,0.41,0,9.19
469,0.31,0.39,0.3,0,8.72
470,0.5,0.35,0.15,0,11.1
471,0.2,0.36,0.44,0,9.57
472,0.29,0.39,0.33,0,8.72
473,0.21,0.39,0.4,0,9.3
474,0.25,0.4,0.35,0,8.92
475,0.5,0.37,0.13,0,11.94
476,0.22,0.39,0.39,0,9.21
477,0.27,0.4,0.33,0,8.76
478,0.35,0.38,0.28,0,8.75
479,0.27,0.36,0.37,0,8.76
480,0.18,0.35,0.47,0,10.05
481,0.32,0.4,0.28,0,8.78
482,0.27,0.37,0.36,0,8.77
483,0.14,0.33,0.53,0,11.46
484,0.27,0.39,0.34,0,8.76
485,0.3,0.35,0.35,0,8.64
486,0.27,0.36,0.37,0,8.78
487,0.51,0.35,0.15,0,11.16
488,0.26,0.37,0.37,0,8.88
489,0.17,0.36,0.47,0,10.53
490,0.28,0.36,0.36,0,8.81
491,0.26,0.37,0.37,0,8.89
492,0.24,0.37,0.39,0,9.07
493,0.24,0.37,0.38,0,9.05
494,0.08,0.32,0.6,0,16.81
495,0.12,0.36,0.53,0,12.83
496,0.5,0.34,0.16,0,10.69
497,0.24,0.37,0.39,0,9.1
498,0.06,0.31,0.63,0,20.03
499,0.42,0.37,0.21,0,9.54
500,0.26,0.37,0.37,0,8.92
501,0.12,0.35,0.54,0,12.87
502,0.05,0.27,0.68,0,24.46
503,0.15,0.35,0.5,0,11.26
504,0.05,0.3,0.65,0,22.5
505,0.22,0.37,0.41,0,9.39
506,0.21,0.36,0.43,0,9.54
507,0.13,0.35,0.52,0,11.88
508,0.29,0.38,0.33,0,8.77
509,0.38,0.38,0.24,0,9.08
510,0.34,0.36,0.29,0,8.76
511,0.19,0.35,0.46,0,9.88
512,0.11,0.34,0.55,0,13.3
513,0.4,0.37,0.23,0,9.18
514,0.37,0.37,0.26,0,8.93
515,0.07,0.33,0.59,0,17.42
516,0.35,0.37,0.28,0,8.75
517,0.29,0.38,0.33,0,8.77
518,0.28,0.38,0.35,0,8.7
519,0.44,0.36,0.2,0,9.65
520,0.31,0.36,0.33,0,8.66
521,0.59,0.32,0.09,0,15.87
522,0.45,0.36,0.18,0,9.93
523,0.28,0.36,0.36,0,8.78
524,0.24,0.37,0.39,0,9.04
525,0.19,0.37,0.45,0,9.98
526,0.23,0.38,0.39,0,9.16
527,0.51,0.35,0.14,0,11.56
528,0.3,0.37,0.33,0,8.76
529,0.31,0.35,0.34,0,8.69
530,0.58,0.33,0.09,0,15.48
531,0.05,0.28,0.67,0,25.19
532,0.32,0.38,0.3,0,8.72
533,0.41,0.36,0.23,0,9.12
534,0.24,0.36,0.39,0,9.01
535,0.57,0.33,0.1,0,14.28
536,0.24,0.35,0.41,0,9.11
537,0.3,0.37,0.33,0,8.69
538,0.06,0.3,0.64,0,20.74
539,0.06,0.31,0.63,0,20.52
540,0.29,0.37,0.34,0,8.69
541,0.21,0.38,0.41,0,9.44
542,0.08,0.31,0.61,0,16.1
543,0.14,0.35,0.5,0,11.25
544,0.34,0.4,0.25,0,8.95
545,0.2,0.36,0.44,0,9.57
546,0.13,0.34,0.53,0,12.08
547,0.09,0.34,0.58,0,15.44
548,0.28,0.35,0.37,0,8.75
549,0.18,0.36,0.46,0,10.07
550,0.36,0.38,0.25,0,8.81
551,0.37,0.38,0.25,0,8.96
552,0.19,0.38,0.43,0,9.65
553,0.15,0.36,0.49,0,10.77
554,0.23,0.38,0.39,0,8.99
555,0.09,0.32,0.59,0,15.23
556,0.62,0.31,0.08,0,17.2
557,0.25,0.39,0.37,0,9.01
558,0.24,0.36,0.4,0,9.05
559,0.14,0.35,0.51,0,11.71
560,0.3,0.38,0.32,0,8.69
561,0.2,0.39,0.41,0,9.51
562,0.14,0.34,0.52,0,11.35
563,0.51,0.35,0.14,0,11.43
564,0.08,0.33,0.59,0,16.16
565,0.41,0.36,0.23,0,9.12
566,0.2,0.36,0.44,0,9.52
567,0.06,0.29,0.65,0,20.71
568,0.27,0.35,0.38,0,8.79
569,0.55,0.33,0.12,0,12.7
570,0.37,0.37,0.26,0,8.87
571,0.07,0.3,0.63,0,18.86
572,0.06,0.3,0.64,0,21.11
573,0.26,0.36,0.37,0,8.81
574,0.18,0.38,0.44,0,10.0
575,0.24,0.35,0.41,0,9.04
576,0.32,0.39,0.29,0,8.64
577,0.25,0.36,0.39,0,8.85
578,0.47,0.37,0.16,0,10.47
579,0.31,0.37,0.32,0,8.66
580,0.31,0.38,0.31,0,8.7
581,0.36,0.36,0.27,0,8.77
582,0.19,0.36,0.46,0,9.92
583,0.21,0.36,0.43,0,9.42
584,0.27,0.37,0.36,0,8.81
585,0.36,0.36,0.28,0,8.76
586,0.3,0.38,0.32,0,8.69
587,0.27,0.37,0.36,0,8.79
588,0.27,0.36,0.37,0,8.78
589,0.31,0.38,0.31,0,8.72
590,0.24,0.38,0.38,0,9.05
591,0.32,0.37,0.32,0,8.68
592,0.06,0.29,0.65,0,20.41
593,0.3,0.36,0.34,0,8.68
594,0.27,0.35,0.38,0,8.85
595,0.46,0.37,0.17,0,10.44
596,0.28,0.36,0.36,0,8.72
597,0.34,0.37,0.29,0,8.64
598,0.22,0.37,0.41,0,9.24
599,0.08,0.33,0.59,0,16.64
600,0.41,0.38,0.21,0,9.42
601,0.06,0.31,0.63,0,21.72
602,0.48,0.37,0.15,0,11.03
603,0.3,0.35,0.36,0,8.68
604,0.28,0.41,0.32,0,8.88
605,0.51,0.34,0.15,0,11.19
606,0.45,0.36,0.19,0,9.86
607,0.14,0.33,0.54,0,11.78
608,0.37,0.36,0.28,0,8.78
609,0.31,0.37,0.31,0,8.68
610,0.28,0.36,0.35,0,8.73
611,0.06,0.29,0.65,0,20.65
612,0.29,0.36,0.35,0,8.71
613,0.27,0.34,0.38,0,8.78
614,0.09,0.33,0.58,0,15.16
615,0.23,0.35,0.41,0,9.11
616,0.6,0.33,0.07,0,18.35
617,0.46,0.37,0.17,0,10.37
618,0.27,0.35,0.38,0,8.8
619,0.31,0.39,0.3,0,8.69
620,0.07,0.33,0.59,0,17.29
621,0.07,0.32,0.61,0,17.96
622,0.2,0.34,0.46,0,9.69
623,0.28,0.38,0.34,0,8.75
624,0.23,0.34,0.42,0,9.15
625,0.21,0.38,0.41,0,9.42
