,AGVH,AGVD,AGVA,LEVEL,SUM
345,0.14,0.35,0.51,1.0,11.4
346,0.29,0.38,0.33,2.0,8.65
347,0.05,0.29,0.66,2.0,24.93
348,0.23,0.38,0.39,1.0,9.02
349,0.33,0.38,0.29,1.0,8.64
350,0.23,0.39,0.38,1.0,9.08
351,0.3,0.38,0.32,1.0,8.64
352,0.38,0.37,0.25,1.0,8.97
353,0.05,0.29,0.65,2.0,22.01
354,0.11,0.32,0.57,2.0,13.34
355,0.07,0.3,0.63,2.0,17.97
356,0.22,0.36,0.42,3.0,9.23
357,0.09,0.31,0.6,2.0,15.51
358,0.24,0.37,0.38,3.0,8.98
359,0.54,0.34,0.13,1.0,11.99
360,0.27,0.37,0.36,1.0,8.71
361,0.11,0.32,0.57,2.0,13.19
362,0.15,0.34,0.51,1.0,11.15
363,0.26,0.37,0.36,1.0,8.76
364,0.06,0.29,0.65,2.0,21.71
365,0.15,0.36,0.49,2.0,10.94
366,0.23,0.37,0.41,2.0,9.13
367,0.07,0.31,0.62,3.0,17.56
368,0.06,0.29,0.65,3.0,20.18
369,0.11,0.32,0.58,1.0,13.39
370,0.14,0.34,0.52,4.0,11.45
371,0.1,0.34,0.56,3.0,13.71
372,0.08,0.31,0.6,1.0,15.84
373,0.14,0.33,0.52,2.0,11.3
374,0.27,0.38,0.35,1.0,8.73
375,0.32,0.38,0.3,1.0,8.65
376,0.1,0.32,0.58,1.0,13.86
377,0.25,0.38,0.37,2.0,8.86
378,0.23,0.37,0.4,1.0,9.03
379,0.05,0.3,0.65,7.0,23.11
380,0.5,0.35,0.15,2.0,11.11
381,0.13,0.34,0.53,2.0,11.75
382,0.36,0.37,0.26,1.0,8.8
383,0.21,0.36,0.42,2.0,9.32
384,0.06,0.29,0.65,4.0,20.05
385,0.29,0.38,0.34,2.0,8.64
386,0.13,0.31,0.55,3.0,12.02
387,0.25,0.38,0.37,1.0,8.91
388,0.57,0.34,0.1,1.0,14.17
389,0.14,0.34,0.52,2.0,11.42
390,0.18,0.36,0.47,1.0,10.14
391,0.23,0.35,0.42,2.0,9.14
392,0.16,0.35,0.49,6.0,10.74
393,0.14,0.33,0.53,4.0,11.4
394,0.22,0.37,0.41,1.0,9.18
395,0.2,0.36,0.44,1.0,9.5
396,0.2,0.35,0.45,3.0,9.61
